date,pm25,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm
2024-03-08,85.5,15.8,60,8.6,0.0
2024-03-09,77.5,16.7,53,11.4,0.0
2024-03-10,94.5,17.9,54,7.4,0.0
2024-03-11,111.0,17.1,66,7.2,2.1
2024-03-12,98.4,18.3,63,6.9,0.0
2024-03-13,106.0,16.5,71,9.7,0.6
2024-03-14,43.3,18.2,63,11.2,0.0
2024-03-15,33.0,18.3,49,12.3,0.0
2024-03-16,66.9,19.1,50,8.4,0.0
2024-03-17,99.3,20.1,48,8.5,0.0
2024-03-18,84.3,20.6,45,8.3,0.0
2024-03-19,91.0,21.4,47,5.6,0.0
2024-03-20,81.7,22.6,47,6.8,0.0
2024-03-21,72.7,23.5,50,10.9,0.0
2024-03-22,73.2,23.0,62,13.0,0.7
2024-03-23,62.5,23.7,51,10.3,0.0
2024-03-24,42.3,22.9,61,8.8,1.3
2024-03-25,57.3,24.0,52,9.8,0.0
2024-03-26,90.5,23.6,58,5.9,0.0
2024-03-27,93.5,23.7,67,13.0,1.2
2024-03-28,38.0,24.0,59,13.2,0.1
2024-03-29,42.9,24.4,59,11.3,0.1
2024-03-30,22.8,23.2,62,14.0,4.4
2024-03-31,23.7,21.4,60,12.4,0.0
2024-04-01,33.4,20.4,58,9.9,0.0
2024-04-02,50.7,21.6,57,6.5,0.0
2024-04-03,43.8,23.3,48,10.7,0.1
2024-04-04,42.6,23.6,44,8.8,0.0
2024-04-05,37.8,24.0,41,12.5,0.0
2024-04-06,57.6,23.2,40,9.8,0.0
2024-04-07,50.2,23.7,39,8.9,0.0
2024-04-08,62.1,24.4,39,7.5,0.0
2024-04-09,59.2,24.8,36,7.1,0.0
2024-04-10,62.1,25.2,38,11.3,0.1
2024-04-11,13.3,26.0,39,13.3,0.0
2024-04-12,23.3,26.2,41,8.5,0.0
2024-04-13,32.2,24.4,49,12.0,1.0
2024-04-14,40.2,23.1,66,8.0,4.0
2024-04-15,42.9,22.9,74,11.3,10.1
2024-04-16,28.7,23.1,68,9.9,0.0
2024-04-17,35.1,24.3,54,8.8,0.0
2024-04-18,39.9,25.3,52,14.2,0.0
2024-04-19,22.4,23.9,60,15.6,3.2
2024-04-20,27.4,23.5,61,9.6,0.1
2024-04-21,29.3,24.4,55,8.9,0.0
2024-04-22,26.3,25.1,50,8.2,0.0
2024-04-23,24.9,24.8,50,8.3,0.0
2024-04-24,44.2,25.3,48,7.3,0.0
2024-04-26,27.6,27.1,44,10.2,1.4
2024-04-27,23.4,25.6,46,10.0,0.0
2024-04-28,29.4,25.8,47,9.5,0.0
2024-04-29,23.5,23.3,54,12.9,5.1
2024-04-30,26.6,22.5,53,13.0,0.2
2024-05-01,25.1,22.2,45,10.3,0.0
2024-05-02,79.5,25.3,36,9.7,0.0
2024-05-03,64.7,27.3,37,6.2,0.0
2024-05-04,33.6,28.8,37,11.6,0.0
2024-05-05,32.1,29.8,36,13.8,0.0
2024-05-06,39.9,30.4,33,8.8,0.0
2024-05-07,58.6,31.6,28,8.6,0.0
2024-05-08,80.9,31.5,25,7.5,0.0
2024-05-09,73.4,31.9,32,11.0,0.0
2024-05-10,59.7,31.2,39,12.3,0.0
2024-05-11,26.5,29.8,48,6.3,0.0
2024-05-12,39.9,28.5,50,10.1,1.1
2024-05-13,36.8,29.5,37,9.6,0.0
2024-05-14,51.8,30.5,30,10.3,0.0
2024-05-15,58.4,31.1,35,8.0,0.0
2024-05-16,87.4,33.0,29,9.0,0.0
2024-05-17,67.3,32.6,31,8.7,0.0
2024-05-18,36.1,33.6,28,10.2,0.0
2024-05-19,43.4,33.4,30,10.4,0.0
2024-05-20,49.6,33.2,30,7.1,0.0
2024-05-21,33.2,33.9,26,7.3,0.0
2024-05-22,60.2,34.1,30,7.2,0.0
2024-05-23,60.9,34.2,33,9.3,0.0
2024-05-24,49.0,34.1,36,10.3,0.1
2024-05-25,27.2,34.5,29,10.5,0.0
2024-05-26,48.2,35.0,28,9.3,0.0
2024-05-27,42.3,34.8,26,8.8,0.0
2024-05-28,40.8,35.1,22,9.0,0.0
2024-05-29,78.5,35.8,19,9.3,0.0
2024-05-30,64.6,35.1,19,8.4,0.0
2024-05-31,52.9,35.6,18,10.5,0.0
2024-06-01,60.2,35.8,17,8.8,0.0
2024-06-02,23.2,35.6,22,10.1,0.0
2024-06-03,37.1,36.3,21,10.2,0.0
2024-06-04,23.6,34.7,26,11.2,1.7
2024-06-05,34.7,32.3,33,13.6,0.4
2024-06-06,26.6,31.2,42,9.7,0.2
2024-06-07,26.1,31.4,40,9.6,0.1
2024-06-08,27.6,31.6,37,9.4,0.0
2024-06-09,32.5,32.8,31,9.5,0.0
2024-06-10,27.4,33.7,26,9.7,0.0
2024-06-11,26.6,34.2,25,8.4,0.0
2024-06-12,30.5,35.4,23,8.1,0.0
2024-06-13,32.0,34.9,29,11.3,0.3
2024-06-14,32.6,35.6,29,8.7,0.0
2024-06-15,25.2,35.5,30,9.9,0.0
2024-06-16,20.0,36.7,32,11.6,0.0
2024-06-17,25.3,37.4,31,11.5,0.0
2024-06-18,23.8,36.7,33,12.7,0.0
2024-06-19,23.4,36.0,36,9.0,0.3
2024-06-20,16.1,32.3,50,8.9,2.3
2024-06-21,19.2,31.2,57,7.9,0.7
2024-06-22,38.7,32.1,50,5.2,0.0
2024-06-23,43.5,33.7,41,6.7,0.0
2024-06-24,45.2,34.8,34,6.5,0.0
2024-06-25,47.9,34.5,43,7.4,0.0
2024-06-26,61.6,35.8,43,8.3,0.0
2024-06-27,29.8,32.9,61,13.7,1.6
2024-06-28,36.6,33.7,55,9.3,0.0
2024-06-29,40.9,34.2,54,7.1,0.0
2024-06-30,34.6,33.3,60,6.3,7.3
2024-07-01,41.0,33.5,63,8.8,0.9
2024-07-02,29.4,33.5,67,9.5,1.2
2024-07-03,38.4,32.0,74,15.1,3.2
2024-07-04,20.6,30.0,76,16.6,7.3
2024-07-05,48.0,30.8,73,11.0,1.0
2024-07-06,41.5,28.7,80,12.0,14.9
2024-07-07,47.3,28.6,79,9.0,16.9
2024-07-08,58.1,30.5,73,8.3,0.1
2024-07-09,55.3,31.0,71,7.4,0.2
2024-07-10,58.5,31.5,72,7.0,1.7
2024-07-11,64.6,32.5,70,4.9,0.7
2024-07-12,44.1,29.8,74,9.5,7.6
2024-07-13,43.6,29.3,73,6.0,0.1
2024-07-14,74.5,30.0,74,5.7,0.2
2024-07-15,69.0,31.5,68,5.7,0.0
2024-07-16,67.8,32.1,69,6.0,0.0
2024-07-17,57.1,32.6,70,7.1,0.7
2024-07-18,29.4,31.2,74,9.4,2.2
2024-07-19,57.2,32.6,68,4.8,0.0
2024-07-20,65.7,33.1,67,7.8,0.1
2024-07-21,53.0,32.8,68,8.6,0.0
2024-07-22,54.3,32.6,70,10.5,0.7
2024-07-23,37.3,31.6,70,12.0,0.0
2024-07-24,56.0,32.1,70,5.8,0.1
2024-07-25,43.0,31.5,72,5.3,10.5
2024-07-26,28.7,31.6,73,8.1,0.2
2024-07-27,36.1,32.3,74,10.4,1.1
2024-07-28,51.9,31.9,75,9.6,3.1
2024-07-29,42.7,29.9,83,9.8,17.5
2024-07-30,49.3,31.6,78,8.2,6.3
2024-07-31,93.8,32.3,77,6.4,26.4
2024-08-01,42.5,26.8,94,11.8,93.9
2024-08-02,51.8,29.9,81,7.1,1.2
2024-08-03,25.0,29.6,81,12.4,8.5
2024-08-04,35.7,28.9,85,8.3,30.1
2024-08-05,34.5,29.9,81,5.7,9.8
2024-08-06,28.5,30.7,75,5.7,0.4
2024-08-07,29.3,29.5,81,10.5,1.5
2024-08-08,20.5,28.8,83,9.9,1.3
2024-08-09,43.2,29.1,82,8.4,1.7
2024-08-10,60.3,28.7,85,9.3,7.0
2024-08-11,18.6,27.4,88,10.0,10.5
2024-08-12,25.4,28.1,83,5.5,0.3
2024-08-13,31.8,29.6,81,6.2,0.4
2024-08-14,44.7,30.6,77,5.5,0.6
2024-08-15,38.7,28.6,88,6.9,26.4
2024-08-16,36.2,29.1,84,7.7,16.9
2024-08-17,35.4,27.7,88,9.8,17.6
2024-08-18,61.3,28.9,85,6.4,0.0
2024-08-19,44.6,28.6,86,6.0,17.4
2024-08-20,35.0,28.8,82,6.1,2.7
2024-08-21,29.8,28.7,82,5.5,9.9
2024-08-22,50.8,29.6,80,4.4,0.1
2024-08-23,45.4,29.5,79,6.1,0.3
2024-08-24,51.4,29.4,79,6.8,2.0
2024-08-25,35.0,29.4,80,5.7,0.0
2024-08-26,44.1,29.6,80,5.4,1.7
2024-08-27,13.3,28.2,83,10.7,0.8
2024-08-28,17.7,26.7,89,8.6,27.7
2024-08-29,20.2,25.9,90,13.3,31.4
2024-08-30,45.0,27.3,83,9.5,1.3
2024-08-31,52.3,28.5,82,6.6,0.0
2024-09-01,35.9,29.7,78,4.7,0.1
2024-09-02,43.1,28.4,85,7.5,8.9
2024-09-03,37.5,26.7,90,6.3,12.9
2024-09-04,69.4,27.5,86,3.8,1.2
2024-09-05,69.1,27.2,84,5.1,2.1
2024-09-06,79.0,27.8,84,8.1,2.8
2024-09-07,36.4,27.4,82,7.6,9.1
2024-09-08,37.5,28.2,81,5.3,0.0
2024-09-09,59.5,29.3,77,3.6,0.0
2024-09-10,56.6,28.3,82,6.5,5.7
2024-09-11,37.1,28.7,81,5.1,0.2
2024-09-12,54.3,29.9,73,8.7,0.0
2024-09-13,30.8,28.9,77,7.3,0.0
2024-09-14,30.5,28.3,76,9.0,0.0
2024-09-15,59.8,28.8,70,6.0,0.0
2024-09-16,60.8,28.6,67,5.1,0.0
2024-09-17,55.1,29.1,68,5.3,0.0
2024-09-18,53.9,28.6,71,5.1,0.0
2024-09-19,44.3,27.1,75,7.3,0.4
2024-09-20,38.8,28.1,72,5.6,0.0
2024-09-21,57.9,29.0,68,5.0,0.0
2024-09-22,60.1,30.2,68,6.5,0.0
2024-09-23,67.8,31.0,66,6.5,0.0
2024-09-24,67.2,31.0,65,5.3,0.0
2024-09-25,73.1,30.3,69,6.2,0.0
2024-09-26,72.6,29.0,75,12.5,0.2
2024-09-27,43.0,28.6,76,7.2,0.0
2024-09-28,46.5,27.2,78,6.6,13.0
2024-09-29,58.3,27.8,73,5.0,0.0
2024-09-30,63.1,28.2,77,7.6,0.0
2024-10-01,57.9,29.1,75,6.4,0.0
2024-10-02,87.0,29.5,69,5.3,0.0
2024-10-03,99.7,28.5,68,5.1,0.0
2024-10-04,82.2,28.2,64,7.1,0.0
2024-10-05,56.6,26.9,67,9.7,0.3
2024-10-06,26.6,24.9,76,6.7,0.9
2024-10-07,66.4,25.6,74,4.9,0.0
2024-10-08,79.4,24.0,82,6.2,11.5
2024-10-09,45.3,24.8,67,8.6,0.0
2024-10-10,64.4,24.6,65,7.6,0.0
2024-10-11,65.3,25.0,65,8.1,0.0
2024-10-12,79.9,25.4,64,5.5,0.0
2024-10-13,85.0,24.8,66,6.0,0.0
2024-10-14,91.1,24.6,62,6.7,0.0
2024-10-15,83.9,24.4,63,6.5,0.0
2024-10-16,89.7,24.7,63,6.9,0.0
2024-10-17,88.1,24.7,63,7.1,0.0
2024-10-18,153.0,25.4,65,6.2,0.0
2024-10-19,150.0,25.8,63,4.0,0.0
2024-10-20,165.0,25.1,67,6.0,0.0
2024-10-21,168.0,24.6,69,5.6,0.0
2024-10-22,197.0,25.0,66,5.2,0.0
2024-10-23,164.0,25.0,68,6.0,0.0
2024-10-24,73.3,24.8,66,7.9,0.0
2024-10-25,82.5,24.6,66,8.6,0.0
2024-10-26,98.6,24.0,66,5.9,0.0
2024-10-27,174.0,24.3,69,5.8,0.0
2024-10-28,224.0,24.8,71,7.6,0.0
2024-10-29,182.0,25.6,68,8.8,0.0
2024-10-30,136.0,25.2,66,7.8,0.0
2024-10-31,101.0,24.3,62,9.8,0.0
2024-11-01,99.5,22.8,62,6.4,0.0
2024-11-02,159.0,22.2,66,4.9,0.0
2024-11-03,196.0,23.1,63,4.5,0.0
2024-11-04,174.0,22.5,73,5.5,0.0
2024-11-05,235.0,22.7,71,6.2,0.0
2024-11-06,184.0,23.0,72,4.2,0.0
2024-11-07,273.0,23.2,75,5.3,0.0
2024-11-08,251.0,22.5,80,5.9,0.0
2024-11-09,311.0,22.3,80,5.6,0.0
2024-11-10,257.0,22.4,79,5.4,0.0
2024-11-11,227.0,21.6,81,7.7,0.0
2024-11-12,234.0,21.6,81,4.9,0.0
2024-11-13,239.0,21.5,80,3.1,0.0
2024-11-14,416.0,20.9,80,4.2,0.0
2024-11-15,338.0,20.0,82,3.2,0.0
2024-11-16,328.0,18.8,82,3.8,0.6
2024-11-17,162.0,18.3,83,3.9,0.0
2024-11-18,165.0,18.3,70,4.4,0.0
2024-11-19,168.0,17.9,71,4.3,0.0
2024-11-20,174.0,17.8,75,3.4,0.0
2024-11-21,204.0,17.5,77,2.2,0.0
2024-11-22,208.0,17.9,74,5.3,0.0
2024-11-23,199.0,17.9,74,8.3,1.6
2024-11-24,203.0,18.3,71,6.2,0.0
2024-11-25,122.0,18.0,69,5.2,0.0
2024-11-26,150.0,17.8,69,3.8,0.0
2024-11-27,161.0,17.0,73,2.4,0.0
2024-11-28,231.0,17.2,75,1.7,0.0
2024-11-29,185.0,17.3,76,3.1,0.0
2024-11-30,122.0,17.6,71,4.2,1.4
2024-12-01,147.0,17.2,75,2.8,0.0
2024-12-02,139.0,18.1,71,4.1,0.0
2024-12-03,105.0,18.5,67,5.9,0.1
2024-12-04,73.7,17.0,55,7.0,0.0
2024-12-05,98.6,16.0,54,4.9,0.0
2024-12-06,128.0,15.2,60,4.9,0.0
2024-12-07,120.0,14.2,67,4.1,0.0
2024-12-08,133.0,12.6,68,8.8,2.3
2024-12-09,130.0,12.8,64,3.7,0.0
2024-12-10,118.0,12.5,54,5.9,0.0
2024-12-11,145.0,12.4,61,5.3,0.0
2024-12-12,155.0,12.2,66,4.4,0.0
2024-12-13,123.0,12.8,54,8.8,0.0
2024-12-14,119.0,12.2,58,5.5,0.0
2024-12-15,184.0,12.2,67,3.0,0.0
2024-12-16,214.0,11.5,73,1.7,0.0
2024-12-17,256.0,11.3,75,2.1,0.0
2024-12-18,255.0,12.1,72,2.7,0.0
2024-12-19,258.0,11.5,73,3.9,0.0
2024-12-20,248.0,12.1,73,3.9,0.0
2024-12-21,207.0,11.9,68,2.6,0.0
2024-12-22,136.0,12.3,71,3.2,0.0
2024-12-23,204.0,11.2,85,6.2,2.7
2024-12-24,161.0,12.2,75,5.5,0.0
2024-12-25,210.0,13.0,73,5.1,0.0
2024-12-26,218.0,13.3,72,2.7,0.0
2024-12-27,295.0,12.1,83,5.1,0.7
2024-12-28,149.0,12.1,87,3.9,0.0
2024-12-29,135.0,11.9,86,5.8,0.0
2024-12-30,175.0,11.3,80,4.8,0.0
2024-12-31,236.0,10.4,89,2.6,0.0
2025-01-01,219.0,10.3,92,3.2,0.0
2025-01-02,271.0,11.4,89,3.0,0.0
2025-01-03,344.0,11.5,93,2.2,0.0
2025-01-04,223.0,11.6,91,4.4,0.0
2025-01-05,224.0,11.8,92,4.0,36.6
2025-01-06,237.0,11.8,90,4.6,0.0
2025-01-07,168.0,11.9,73,7.1,0.0
2025-01-08,151.0,12.0,72,5.3,0.0
2025-01-09,271.0,10.9,88,2.1,0.0
2025-01-10,230.0,9.5,94,2.9,0.0
2025-01-11,206.0,10.3,91,6.9,0.8
2025-01-12,206.0,12.8,83,6.1,0.0
2025-01-13,133.0,12.0,80,5.7,0.0
2025-01-14,131.0,11.9,76,3.5,0.0
2025-01-15,184.0,11.5,82,2.1,0.0
2025-01-16,216.0,10.7,88,4.5,0.0
2025-01-17,171.0,11.4,86,5.3,0.0
2025-01-18,214.0,12.2,84,3.2,0.0
2025-01-19,222.0,11.2,89,3.5,0.0
2025-01-20,135.0,13.9,69,6.8,0.0
2025-01-21,90.2,13.8,71,6.0,0.0
2025-01-22,146.0,14.4,70,5.5,0.0
2025-01-23,82.5,14.5,64,6.6,0.0
2025-01-24,88.7,14.1,48,7.8,0.0
2025-01-25,139.0,13.5,51,4.6,0.0
2025-01-26,146.0,13.2,61,4.2,0.0
2025-01-27,156.0,13.7,65,3.9,0.0
2025-01-28,142.0,13.8,68,3.6,0.0
2025-01-29,177.0,14.6,70,8.0,0.0
2025-01-30,161.0,16.3,65,5.0,0.0
2025-01-31,183.0,15.6,64,3.2,0.0
2025-02-01,190.0,15.1,74,6.2,0.0
2025-02-02,165.0,14.2,77,5.6,0.0
2025-02-03,148.0,13.8,67,5.1,0.0
2025-02-04,132.0,13.8,68,5.0,0.0
2025-02-05,146.0,12.7,78,2.4,0.1
2025-02-06,219.0,13.9,62,5.9,0.0
2025-02-07,76.8,14.5,50,8.4,0.0
2025-02-08,111.0,15.6,52,5.2,0.0
2025-02-09,162.0,16.3,62,1.8,0.0
2025-02-10,154.0,16.4,68,4.3,0.2
2025-02-11,138.0,16.4,64,6.0,0.5
2025-02-12,57.1,16.8,54,6.5,0.0
2025-02-13,75.7,16.8,49,6.4,0.0
2025-02-14,85.3,17.0,53,4.4,0.0
2025-02-15,68.5,18.4,57,4.0,1.4
2025-02-16,120.0,17.8,61,4.7,0.0
2025-02-17,104.0,18.4,61,4.9,0.0
2025-02-18,113.0,18.6,58,5.2,0.0
2025-02-19,99.3,18.5,58,4.8,0.8
2025-02-20,49.0,14.2,87,7.2,40.4
2025-02-21,52.2,14.2,82,5.1,0.0
2025-02-22,78.5,16.5,72,4.9,0.0
2025-02-23,105.0,17.2,65,3.6,0.0
2025-02-24,113.0,17.9,65,3.2,0.0
2025-02-25,96.2,16.9,79,5.8,3.8
2025-02-26,72.8,20.1,70,9.7,0.9
2025-02-27,62.7,17.6,87,11.6,11.5
2025-02-28,50.5,16.9,86,7.1,8.3
2025-03-01,69.1,16.3,84,5.9,0.0
2025-03-02,61.1,16.7,65,6.0,0.0
2025-03-03,69.5,15.7,76,8.4,0.9
2025-03-04,39.9,14.6,73,8.5,0.0
2025-03-05,43.9,15.6,58,11.6,0.0
2025-03-06,78.1,16.8,64,3.9,0.0
2025-03-07,103.0,17.9,68,3.7,0.0
2025-03-08,69.1,19.7,60,6.1,0.0
2025-03-09,61.0,19.8,65,5.9,0.0
2025-03-10,99.9,22.2,65,9.9,0.0
2025-03-11,55.7,21.6,61,7.1,0.0
2025-03-12,66.4,21.8,63,6.3,0.0
2025-03-13,51.1,20.8,65,7.6,0.6
2025-03-14,39.3,19.7,67,7.2,7.6
2025-03-15,51.7,18.2,78,6.0,4.0
2025-03-16,42.6,19.1,70,4.8,0.0
2025-03-17,77.2,21.0,56,3.9,0.0
2025-03-18,65.4,22.7,49,5.1,0.0
2025-03-19,88.1,22.5,48,5.4,0.7
2025-03-20,56.7,23.2,45,6.2,0.0
2025-03-21,59.0,23.9,41,6.0,0.0
2025-03-22,73.8,23.2,45,4.4,0.0
2025-03-23,99.3,24.2,46,3.3,0.0
2025-03-24,84.5,24.9,48,4.1,0.0
2025-03-25,60.2,25.8,51,6.4,0.0
2025-03-26,70.9,28.0,40,10.5,0.0
2025-03-27,42.4,27.4,29,10.6,0.0
2025-03-28,28.7,22.0,18,8.8,0.0
2025-03-29,28.9,22.0,25,11.2,0.0
2025-03-30,36.3,23.3,24,6.0,0.0
2025-03-31,31.5,25.1,25,6.8,0.0
2025-04-01,33.4,25.5,24,5.8,0.0
2025-04-02,49.7,26.5,25,7.1,0.0
2025-04-03,36.8,26.1,28,7.2,0.0
2025-04-04,26.7,26.1,31,9.0,0.0
2025-04-05,38.5,28.0,26,5.4,0.0
2025-04-06,56.1,30.0,29,4.0,0.0
2025-04-07,67.5,31.2,35,6.9,0.0
2025-04-08,61.9,31.3,34,8.6,0.0
2025-04-09,60.8,31.0,35,6.6,0.2
2025-04-10,49.3,29.9,35,7.4,0.0
2025-04-11,30.8,25.9,55,9.4,0.2
2025-04-12,47.7,26.9,43,7.2,0.0
2025-04-13,38.5,28.1,42,5.4,0.0
2025-04-14,75.7,30.4,38,5.9,0.0
2025-04-15,49.2,31.5,35,7.9,0.0
2025-04-16,48.1,31.5,37,10.7,0.0
2025-04-17,46.5,31.2,37,6.8,0.0
2025-04-18,47.3,31.4,38,9.4,0.0
2025-04-19,27.7,32.6,30,15.9,0.0
2025-04-20,34.5,31.9,32,14.4,0.0
2025-04-21,39.3,30.7,33,8.2,0.0
2025-04-22,38.8,31.2,25,5.1,0.0
2025-04-23,61.2,31.7,15,5.3,0.0
2025-04-24,84.9,31.6,17,3.4,0.0
2025-04-25,46.9,32.1,17,7.9,0.0
2025-04-26,47.5,32.5,15,6.4,0.0
2025-04-27,57.0,32.1,18,4.4,0.0
2025-04-28,78.4,33.6,14,4.4,0.0
2025-04-29,57.6,33.0,22,7.8,0.0
2025-04-30,59.2,33.8,27,9.4,0.0
2025-05-01,58.1,31.9,35,9.8,0.0
2025-05-02,35.9,28.4,52,8.0,0.3
2025-05-03,45.2,28.6,51,6.3,0.3
2025-05-04,33.0,27.1,60,5.6,14.0
2025-05-05,39.7,26.1,64,6.7,0.4
2025-05-06,45.3,28.8,53,5.0,0.0
2025-05-07,63.1,29.8,47,6.8,0.3
2025-05-08,61.5,28.9,55,5.6,0.4
2025-05-09,58.7,28.5,60,5.6,0.0
2025-05-10,72.8,30.5,50,4.2,0.7
2025-05-11,87.7,29.4,55,5.1,7.1
2025-05-12,55.2,29.9,46,5.0,0.0
2025-05-13,81.5,31.9,35,5.8,0.0
2025-05-14,76.1,33.5,32,3.8,0.0
2025-05-15,49.3,35.4,26,4.3,0.0
2025-05-16,41.1,35.0,27,7.2,0.0
2025-05-17,64.1,35.4,27,6.2,0.0
2025-05-18,52.3,36.3,27,6.2,0.0
2025-05-19,54.7,31.4,48,10.5,9.1
2025-05-20,67.5,34.3,37,6.5,0.0
2025-05-21,42.2,34.8,36,7.6,0.0
2025-05-22,26.9,34.1,40,10.3,0.0
2025-05-23,34.6,34.4,43,10.5,0.0
2025-05-24,31.9,30.9,57,10.5,6.0
2025-05-25,15.3,29.9,56,9.7,0.1
2025-05-26,31.7,32.3,46,4.4,0.0
2025-05-27,53.3,34.4,39,5.5,0.0
2025-05-28,34.8,35.2,33,4.9,0.0
2025-05-29,48.4,34.7,30,5.9,1.0
2025-05-30,25.4,32.8,35,10.0,0.2
2025-05-31,31.0,31.9,40,12.0,0.2
2025-06-01,33.9,31.8,31,9.1,0.0
2025-06-02,39.8,33.0,24,5.7,0.0
2025-06-03,15.0,29.9,41,10.7,0.0
2025-06-04,21.1,29.2,46,8.7,0.0
2025-06-05,29.8,30.9,41,5.5,0.0
2025-06-06,36.2,33.7,34,4.8,0.0
2025-06-07,44.6,35.9,33,5.9,0.0
