date,pm25,temperature_c
2024-04-23,24.9,26.6
2024-04-24,44.2,23.3
2024-04-26,27.6,
2024-04-27,23.4,
2024-04-28,29.4,
2024-04-29,23.5,
2024-04-30,26.6,
2024-05-01,25.1,
2024-05-02,79.5,
2024-05-03,64.7,
2024-05-04,33.6,
2024-05-05,32.1,
2024-05-06,39.9,
2024-05-07,58.6,
2024-05-08,80.9,
2024-05-09,73.4,
2024-05-10,59.7,
2024-05-11,26.5,
2024-05-12,39.9,
2024-05-13,36.8,
2024-05-14,51.8,
2024-05-15,58.4,
2024-05-16,87.4,
2024-05-17,67.3,
2024-05-18,36.1,
2024-05-19,43.4,
2024-05-20,49.6,
2024-05-21,33.2,
2024-05-22,60.2,
2024-05-23,60.9,
2024-05-24,49.0,
2024-05-25,27.2,
2024-05-26,48.2,
2024-05-27,42.3,
2024-05-28,40.8,
2024-05-29,78.5,
2024-05-30,64.6,
2024-05-31,52.9,
2024-06-01,60.2,
2024-06-02,23.2,
2024-06-03,37.1,
2024-06-04,23.6,
2024-06-05,34.7,
2024-06-06,26.6,
2024-06-07,26.1,
2024-06-08,27.6,
2024-06-09,32.5,
2024-06-10,27.4,
2024-06-11,26.6,
2024-06-12,30.5,
2024-06-13,32.0,
2024-06-14,32.6,
2024-06-15,25.2,
2024-06-16,20.0,
2024-06-17,25.3,
2024-06-18,23.8,
2024-06-19,23.4,
2024-06-20,16.1,
2024-06-21,19.2,
2024-06-22,38.7,
2024-06-23,43.5,
2024-06-24,45.2,
2024-06-25,47.9,
2024-06-26,61.6,
2024-06-27,29.8,
2024-06-28,36.6,
2024-06-29,40.9,
2024-06-30,34.6,
2024-07-01,41.0,
2024-07-02,29.4,
2024-07-03,38.4,
2024-07-04,20.6,
2024-07-05,48.0,
2024-07-06,41.5,
2024-07-07,47.3,
2024-07-08,58.1,
2024-07-09,55.3,
2024-07-10,58.5,
2024-07-11,64.6,
2024-07-12,44.1,
2024-07-13,43.6,
2024-07-14,74.5,
2024-07-15,69.0,
2024-07-16,67.8,
2024-07-17,57.1,
2024-07-18,29.4,
2024-07-19,57.2,
2024-07-20,65.7,
2024-07-21,53.0,
2024-07-22,54.3,
2024-07-23,37.3,
2024-07-24,56.0,
2024-07-25,43.0,
2024-07-26,28.7,
2024-07-27,36.1,
2024-07-28,51.9,
2024-07-29,42.7,
2024-07-30,49.3,
2024-07-31,93.8,
2024-08-01,42.5,
2024-08-02,51.8,
2024-08-03,25.0,
2024-08-04,35.7,
2024-08-05,34.5,
2024-08-06,28.5,
2024-08-07,29.3,
2024-08-08,20.5,
2024-08-09,43.2,
2024-08-10,60.3,
2024-08-11,18.6,
2024-08-12,25.4,
2024-08-13,31.8,
2024-08-14,44.7,
2024-08-15,38.7,
2024-08-16,36.2,
2024-08-17,35.4,
2024-08-18,61.3,
2024-08-19,44.6,
2024-08-20,35.0,
2024-08-21,29.8,
2024-08-22,50.8,
2024-08-23,45.4,
2024-08-24,51.4,
2024-08-25,35.0,
2024-08-26,44.1,
2024-08-27,13.3,
2024-08-28,17.7,
2024-08-29,20.2,
2024-08-30,45.0,
2024-08-31,52.3,
2024-09-01,35.9,
2024-09-02,43.1,
2024-09-03,37.5,
2024-09-04,69.4,
2024-09-05,69.1,
2024-09-06,79.0,
2024-09-07,36.4,
2024-09-08,37.5,
2024-09-09,59.5,
2024-09-10,56.6,
2024-09-11,37.1,
2024-09-12,54.3,
2024-09-13,30.8,
2024-09-14,30.5,
2024-09-15,59.8,
2024-09-16,60.8,
2024-09-17,55.1,
2024-09-18,53.9,
2024-09-19,44.3,
2024-09-20,38.8,
2024-09-21,57.9,
2024-09-22,60.1,
2024-09-23,67.8,
2024-09-24,67.2,
2024-09-25,73.1,
2024-09-26,72.6,
2024-09-27,43.0,
2024-09-28,46.5,
2024-09-29,58.3,
2024-09-30,63.1,
2024-10-01,57.9,
2024-10-02,87.0,
2024-10-03,99.7,
2024-10-04,82.2,
2024-10-05,56.6,
2024-10-06,26.6,
2024-10-07,66.4,
2024-10-08,79.4,
2024-10-09,45.3,
2024-10-10,64.4,
2024-10-11,65.3,
2024-10-12,79.9,
2024-10-13,85.0,
2024-10-14,91.1,
2024-10-15,83.9,
2024-10-16,89.7,
2024-10-17,88.1,
2024-10-18,153.0,
2024-10-19,150.0,
2024-10-20,165.0,
2024-10-21,168.0,
2024-10-22,197.0,
2024-10-23,164.0,
2024-10-24,73.3,
2024-10-25,82.5,
2024-10-26,98.6,
2024-10-27,174.0,
2024-10-28,224.0,
2024-10-29,182.0,
2024-10-30,136.0,
2024-10-31,101.0,
2024-11-01,99.5,
2024-11-02,159.0,
2024-11-03,196.0,
2024-11-04,174.0,
2024-11-05,235.0,
2024-11-06,184.0,
2024-11-07,273.0,
2024-11-08,251.0,
2024-11-09,311.0,
2024-11-10,257.0,
2024-11-11,227.0,
2024-11-12,234.0,
2024-11-13,239.0,
2024-11-14,416.0,
2024-11-15,338.0,
2024-11-16,328.0,
2024-11-17,162.0,
2024-11-18,165.0,
2024-11-19,168.0,
2024-11-20,174.0,
2024-11-21,204.0,
2024-11-22,208.0,
2024-11-23,199.0,
2024-11-24,203.0,
2024-11-25,122.0,
2024-11-26,150.0,
2024-11-27,161.0,
2024-11-28,231.0,
2024-11-29,185.0,
2024-11-30,122.0,
2024-12-01,147.0,
2024-12-02,139.0,
2024-12-03,105.0,
2024-12-04,73.7,
2024-12-05,98.6,
2024-12-06,128.0,
2024-12-07,120.0,
2024-12-08,133.0,
2024-12-09,130.0,
2024-12-10,118.0,
2024-12-11,145.0,
2024-12-12,155.0,
2024-12-13,123.0,
2024-12-14,119.0,
2024-12-15,184.0,
2024-12-16,214.0,
2024-12-17,256.0,
2024-12-18,255.0,
2024-12-19,258.0,
2024-12-20,248.0,
2024-12-21,207.0,
2024-12-22,136.0,
2024-12-23,204.0,
2024-12-24,161.0,
2024-12-25,210.0,
2024-12-26,218.0,
2024-12-27,295.0,
2024-12-28,149.0,
2024-12-29,135.0,
2024-12-30,175.0,
2024-12-31,236.0,
2025-01-01,219.0,
2025-01-02,271.0,
2025-01-03,344.0,
2025-01-04,223.0,
2025-01-05,224.0,
2025-01-06,237.0,
2025-01-07,168.0,
2025-01-08,151.0,
2025-01-09,271.0,
2025-01-10,230.0,
2025-01-11,206.0,
2025-01-12,206.0,
2025-01-13,133.0,
2025-01-14,131.0,
2025-01-15,184.0,
2025-01-16,216.0,
2025-01-17,171.0,
2025-01-18,214.0,
2025-01-19,222.0,
2025-01-20,135.0,
2025-01-21,90.2,
2025-01-22,146.0,
2025-01-23,82.5,
2025-01-24,88.7,
2025-01-25,139.0,
2025-01-26,146.0,
2025-01-27,156.0,
2025-01-28,142.0,
2025-01-29,177.0,
2025-01-30,161.0,
2025-01-31,183.0,
2025-02-01,190.0,
2025-02-02,165.0,
2025-02-03,148.0,
2025-02-04,132.0,
2025-02-05,146.0,
2025-02-06,219.0,
2025-02-07,76.8,
2025-02-08,111.0,
2025-02-09,162.0,
2025-02-10,154.0,
2025-02-11,138.0,
2025-02-12,57.1,
2025-02-13,75.7,
2025-02-14,85.3,
2025-02-15,68.5,
2025-02-16,120.0,
2025-02-17,104.0,
2025-02-18,113.0,
2025-02-19,99.3,
2025-02-20,49.0,
2025-02-21,52.2,
2025-02-22,78.5,
2025-02-23,105.0,
2025-02-24,113.0,
2025-02-25,96.2,
2025-02-26,72.8,
2025-02-27,62.7,
2025-02-28,50.5,
2025-03-01,69.1,
2025-03-02,61.1,
2025-03-03,69.5,
2025-03-04,39.9,
2025-03-05,43.9,
2025-03-06,78.1,
2025-03-07,103.0,
2025-03-08,69.1,
2025-03-09,61.0,
2025-03-10,99.9,
2025-03-11,55.7,
2025-03-12,66.4,
2025-03-13,51.1,
2025-03-14,39.3,
2025-03-15,51.7,
2025-03-16,42.6,
2025-03-17,77.2,
2025-03-18,65.4,
2025-03-19,88.1,
2025-03-20,56.7,
2025-03-21,59.0,
2025-03-22,73.8,
2025-03-23,99.3,
2025-03-24,84.5,
2025-03-25,60.2,
2025-03-26,70.9,
2025-03-27,42.4,
2025-03-28,28.7,
2025-03-29,28.9,
2025-03-30,36.3,
2025-03-31,31.5,
2025-04-01,33.4,
2025-04-02,49.7,
2025-04-03,36.8,
2025-04-04,26.7,
2025-04-05,38.5,
2025-04-06,56.1,
2025-04-07,67.5,
2025-04-08,61.9,
2025-04-09,60.8,
2025-04-10,49.3,
2025-04-11,30.8,
2025-04-12,47.7,
2025-04-13,38.5,
2025-04-14,75.7,
2025-04-15,49.2,
2025-04-16,48.1,
2025-04-17,46.5,
2025-04-18,47.3,
2025-04-19,27.7,
2025-04-20,34.5,
2025-04-21,39.3,
2025-04-22,38.8,
2025-04-23,61.2,
2025-04-24,84.9,
2025-04-25,46.9,
2025-04-26,47.5,
2025-04-27,57.0,
2025-04-28,78.4,
2025-04-29,57.6,
2025-04-30,59.2,
2025-05-01,58.1,
2025-05-02,35.9,
2025-05-03,45.2,
2025-05-04,33.0,
2025-05-05,39.7,
2025-05-06,45.3,
2025-05-07,63.1,
2025-05-08,61.5,
2025-05-09,58.7,
2025-05-10,72.8,
2025-05-11,87.7,
2025-05-12,55.2,
2025-05-13,81.5,
2025-05-14,76.1,
2025-05-15,49.3,
2025-05-16,41.1,
2025-05-17,64.1,
2025-05-18,52.3,
2025-05-19,54.7,
2025-05-20,67.5,
2025-05-21,42.2,
2025-05-22,26.9,
2025-05-23,34.6,
2025-05-24,31.9,
2025-05-25,15.3,
2025-05-26,31.7,
2025-05-27,53.3,
2025-05-28,34.8,
2025-05-29,48.4,
2025-05-30,25.4,
2025-05-31,31.0,
2025-06-01,33.9,
2025-06-02,39.8,
2025-06-03,15.0,
2025-06-04,21.1,
2025-06-05,29.8,
2025-06-06,36.2,
2025-06-07,44.6,
2025-06-08,23.0,
2025-06-09,28.5,
2025-06-10,24.1,
2025-06-11,26.4,
2025-06-12,33.6,
2025-06-13,42.7,
2025-06-14,31.5,
2025-06-15,31.2,
2025-06-16,42.8,
2025-06-17,39.5,
2025-06-18,46.5,
2025-06-19,43.2,
2025-06-20,40.0,
2025-06-21,40.1,
2025-06-22,48.4,
2025-06-23,65.5,
2025-06-24,37.4,
2025-06-25,50.3,
2025-06-26,43.5,
2025-06-27,86.4,
2025-06-28,62.7,
2025-06-29,50.3,
2025-06-30,38.2,
2025-07-01,45.1,
2025-07-02,37.8,
2025-07-03,29.1,
2025-07-04,50.9,
2025-07-05,53.6,
2025-07-06,29.0,
2025-07-07,44.0,
2025-07-08,34.7,
2025-07-09,26.3,
2025-07-10,37.6,
2025-07-11,47.1,
2025-07-12,58.2,
2025-07-13,82.5,
2025-07-14,69.9,
2025-07-15,60.5,
2025-07-16,44.5,
2025-07-17,47.9,
2025-07-18,84.8,
2025-07-19,59.7,
2025-07-20,33.4,
2025-07-21,27.8,
2025-07-22,40.7,
2025-07-23,65.3,
2025-07-24,59.0,
2025-07-25,42.8,
2025-07-26,44.8,
2025-07-27,62.7,
2025-07-28,76.8,
2025-07-29,44.6,
2025-07-30,27.1,
2025-07-31,24.3,
2025-08-01,31.9,
2025-08-02,38.7,
2025-08-03,44.8,
2025-08-04,33.2,
2025-08-05,21.7,
2025-08-06,19.3,
2025-08-07,42.6,
2025-08-08,33.4,
2025-08-09,43.8,
2025-08-10,32.5,
2025-08-11,30.2,
2025-08-12,37.9,
2025-08-13,36.3,
2025-08-14,41.8,
2025-08-15,45.9,
2025-08-16,44.6,
2025-08-17,40.6,
2025-08-18,29.8,
2025-08-19,35.0,
2025-08-20,19.2,
2025-08-21,34.2,
2025-08-22,55.0,
2025-08-23,47.7,
2025-08-24,19.4,
2025-08-25,22.0,
2025-08-26,41.5,
2025-08-27,40.6,
2025-08-28,53.4,
2025-08-29,43.3,
2025-08-30,32.6,
2025-08-31,31.0,
2025-09-01,16.5,
2025-09-02,23.3,
2025-09-03,39.8,
2025-09-04,30.5,
2025-09-05,40.0,
2025-09-06,22.1,
2025-09-07,24.0,
2025-09-08,41.3,
2025-09-09,57.3,
2025-09-10,48.8,
2025-09-11,30.4,
2025-09-12,30.4,
2025-09-13,43.4,
2025-09-14,33.9,
2025-09-15,33.2,
2025-09-16,28.6,
2025-09-17,47.3,
2025-09-18,50.4,
2025-09-19,39.1,
2025-09-20,58.5,
2025-09-21,60.1,
2025-09-22,33.2,
2025-09-23,39.1,
2025-09-24,48.4,
2025-09-25,48.7,
2025-09-26,44.2,
2025-09-27,46.1,
2025-09-28,68.8,
2025-09-29,84.1,
2025-09-30,99.8,
2025-10-01,81.5,
2025-10-02,75.5,
2025-10-03,50.3,
2025-10-04,78.0,
2025-10-05,35.3,
2025-10-06,32.2,
2025-10-07,20.2,
2025-10-08,52.5,
2025-10-09,58.9,
2025-10-10,62.7,
2025-10-11,72.6,
2025-10-12,66.4,
2025-10-13,65.8,
2025-10-14,98.7,
2025-10-15,99.5,
2025-10-16,107.0,
2025-10-17,108.0,
2025-10-18,113.0,
2025-10-19,108.0,
2025-10-20,135.0,
2025-10-21,109.0,
2025-10-22,115.0,
2025-10-23,121.0,
2025-10-24,185.0,
2025-10-25,164.0,
2025-10-26,167.0,
2025-10-27,194.0,
2025-10-28,162.0,
2025-10-29,199.0,
2025-10-30,242.0,
2025-10-31,187.0,
2025-11-01,189.0,
2025-11-02,175.0,
2025-11-03,139.0,
2025-11-04,168.0,
2025-11-05,66.5,
2025-11-06,79.0,
2025-11-07,120.0,
2025-11-08,115.0,
2025-11-09,141.0,
2025-11-10,167.0,
2025-11-11,159.0,
2025-11-12,171.0,
2025-11-13,181.0,
2025-11-14,160.0,
2025-11-15,165.0,
2025-11-16,147.0,
2025-11-17,166.0,
2025-11-18,209.0,
2025-11-19,195.0,
2025-11-20,171.0,
2025-11-21,223.0,
2025-11-22,193.0,
2025-11-23,175.0,
2025-11-24,157.0,
2025-11-25,189.0,
2025-11-26,170.0,
2025-11-27,169.0,
2025-11-28,179.0,
2025-11-29,171.0,
2025-11-30,154.0,
2025-12-01,154.0,
2025-12-02,234.0,
2025-12-03,215.0,
2025-12-04,191.0,
2025-12-05,187.0,
2025-12-06,180.0,
2025-12-07,202.0,
2025-12-08,190.0,
2025-12-09,155.0,
2025-12-10,183.0,
2025-12-11,208.0,
2025-12-12,226.0,
2025-12-13,276.0,
2025-12-14,270.0,
2025-12-15,268.0,
2025-12-16,231.0,
2025-12-17,185.0,
2025-12-18,158.0,
2025-12-19,249.0,
2025-12-20,210.0,
2025-12-21,260.0,
2025-12-22,277.0,
2025-12-23,153.0,
2025-12-24,84.0,
2025-12-25,140.0,
2025-12-26,166.0,
2025-12-27,251.0,
2025-12-28,279.0,
2025-12-29,328.0,
2025-12-30,233.0,
2025-12-31,267.0,
2026-01-01,269.0,
2026-01-02,188.0,
2026-01-03,155.0,
2026-01-04,120.0,
2026-01-05,117.0,
2026-01-06,175.0,
2026-01-07,220.0,
2026-01-08,200.0,
2026-01-09,170.0,
2026-01-10,183.0,
2026-01-11,207.0,
2026-01-12,249.0,
2026-01-13,247.0,
2026-01-14,257.0,
2026-01-15,289.0,
2026-01-16,283.0,
2026-01-17,210.0,
2026-01-18,136.0,
2026-01-19,206.0,
2026-01-20,174.0,
2026-01-21,189.0,
2026-01-22,153.0,
2026-01-23,45.3,
2026-01-24,77.4,
2026-01-25,102.0,
2026-01-26,172.0,
2026-01-27,110.0,
2026-01-28,100.0,
2026-01-29,136.0,
2026-01-30,129.0,
2026-01-31,143.0,
2026-02-01,176.0,
2026-02-02,179.0,
2026-02-03,147.0,
2026-02-04,152.0,
2026-02-05,121.0,
2026-02-06,137.0,
2026-02-07,77.2,
2026-02-08,98.5,
2026-02-09,124.0,
2026-02-10,122.0,
2026-02-11,66.4,
2026-02-12,102.0,
2026-02-13,102.0,
2026-02-14,125.0,
2026-02-15,117.0,
2026-02-16,134.0,
2026-02-17,123.0,
2026-02-18,129.0,
2026-02-19,154.0,
2026-02-20,167.0,
2026-02-21,99.9,
2026-02-22,99.7,
2026-02-23,131.0,
2026-02-24,120.0,
2026-02-25,107.0,
2026-02-26,105.0,
2026-02-27,88.3,
2026-02-28,120.0,
2026-03-01,93.8,
2026-03-02,88.4,
2026-03-03,93.4,
2026-03-04,102.0,
2026-03-05,126.0,
2026-03-06,106.0,
2026-03-07,72.0,
2026-03-08,137.0,
2026-03-09,116.0,
2026-03-10,93.8,
2026-03-11,71.4,
2026-03-12,64.8,
2026-03-13,50.1,
2026-03-14,84.0,
2026-03-15,49.0,
2026-03-16,18.5,
2026-03-17,65.6,
2026-03-18,77.7,
2026-03-19,47.5,
2026-03-20,42.2,
2026-03-21,45.9,
2026-03-22,50.9,
2026-03-23,52.8,
2026-03-24,55.0,
2026-03-25,58.0,
2026-03-26,27.4,
2026-03-27,29.8,
2026-03-28,39.0,
2026-03-29,32.0,
2026-03-30,32.7,
2026-03-31,35.9,
2026-04-01,40.7,
2026-04-02,43.4,
2026-04-03,34.2,
2026-04-04,45.6,
2026-04-05,38.8,
2026-04-06,67.8,
2026-04-07,54.1,
2026-04-08,31.3,
2026-04-09,36.8,
2026-04-10,33.2,
2026-04-11,28.7,
2026-04-12,41.9,
2026-04-13,79.6,
2026-04-14,45.0,
2026-04-15,66.1,
2026-04-16,63.2,
2026-04-17,20.6,
2026-04-18,24.4,
2026-04-19,35.0,
2026-04-20,45.4,
2026-04-21,38.6,
2026-04-22,57.3,
2026-04-23,78.3,
2026-04-24,48.4,
2026-04-25,41.0,
2026-04-26,23.6,
2026-04-27,58.8,
2026-04-28,24.0,
2026-04-29,26.8,
2026-04-30,33.3,
2026-05-01,41.0,
2026-05-02,63.1,
2026-05-03,21.4,
2026-05-04,21.3,
2026-05-05,35.6,
2026-05-06,73.7,
2026-05-07,63.0,
2026-05-08,53.3,
2026-05-09,90.0,
2026-05-10,96.9,
2026-05-11,37.3,
2026-05-12,41.2,
2026-05-13,60.3,
2026-05-14,40.1,
2026-05-15,34.6,
2026-05-16,27.0,
2026-05-17,26.0,
2026-05-18,48.0,
2026-05-19,36.6,
2026-05-20,40.1,
2026-05-21,24.2,
2026-05-22,18.4,
2026-05-23,36.8,
2026-05-24,31.0,
2026-05-25,32.9,
2026-05-26,24.9,
2026-05-27,27.6,
2026-05-28,34.7,
2026-05-29,24.6,
2026-05-30,19.3,
2026-05-31,25.7,
2026-06-01,28.6,
2026-06-02,33.0,
2026-06-03,36.5,
2026-06-04,40.0,
2026-06-05,28.0,
2026-06-06,43.5,
2026-06-07,24.8,
2026-06-08,35.9,
2026-06-09,46.1,
2026-06-10,38.0,
2026-06-11,21.4,
2026-06-12,11.9,
2026-06-13,16.2,
2026-06-14,27.2,
2026-06-15,39.7,
2026-06-16,37.7,
2026-06-17,47.3,
2026-06-18,39.1,
2026-06-19,27.2,
2026-06-20,30.8,
2026-06-21,25.0,
2026-06-22,24.8,
2026-06-23,34.3,
2026-06-24,48.6,
2026-06-25,24.0,
2026-06-26,38.7,
2026-06-27,46.6,
2026-06-28,41.9,
2026-06-29,31.2,
2026-06-30,38.4,
2026-07-01,52.2,
2026-07-02,17.5,
2026-07-03,44.3,
2026-07-04,44.0,
2026-07-05,47.5,
2026-07-07,60.1,
2026-07-08,44.7,
2026-07-09,53.8,
2026-07-10,25.4,
2026-07-11,32.2,
2026-07-12,28.7,
2026-07-13,69.2,
2026-07-14,39.2,
2026-07-15,23.4,
2026-07-16,33.1,
2026-07-17,44.3,
2026-07-18,26.8,
2026-07-19,30.2,
2026-07-20,38.3,
2026-07-21,38.3,
2026-07-22,44.6,
2026-07-23,30.8,
2026-07-24,48.5,
2026-07-25,53.6,
2026-07-26,78.3,
2026-07-27,78.9,
2026-07-28,81.0,
2026-07-29,41.1,
2026-07-30,55.8,
2026-07-31,42.0,
2026-08-01,26.9,
2026-08-02,36.0,
2026-08-03,54.5,
2026-08-04,59.3,
2026-08-05,63.4,
2026-08-06,34.9,
2026-08-07,30.0,
2026-08-08,18.9,
2026-08-09,66.8,
2026-08-10,105.0,
2026-08-11,45.3,
2026-08-12,50.0,
2026-08-13,87.7,
2026-08-14,50.8,
2026-08-15,46.4,
2026-08-16,28.7,
2026-08-17,32.0,
2026-08-18,34.8,
2026-08-19,32.3,
2026-08-20,20.2,
2026-08-21,26.7,
